dataset,threshold,avg_perf,avg_cost,delta_ibc,lm1_ratio,lm2_ratio
cnli_short,0.1,0.606,11.68,-56.06612861234051,0.666,0.334
cnli_short,0.2,0.606,11.68,-56.06612861234051,0.666,0.334
cnli_short,0.30000000000000004,0.602,11.12,-59.15032679738559,0.694,0.306
cnli_short,0.4,0.602,11.12,-59.15032679738559,0.694,0.306
cnli_short,0.5,0.602,11.12,-59.15032679738559,0.694,0.306
cnli_short,0.6,0.601,10.68,-57.899571341089995,0.716,0.284
cnli_short,0.7000000000000001,0.601,10.68,-57.899571341089995,0.716,0.284
cnli_short,0.8,0.579,5.0,-100.0,1.0,0.0
cnli_short,0.9,0.579,5.0,-100.0,1.0,0.0
coqa_short,0.1,0.53339022013,18.86,-22.200833553876603,0.307,0.693
coqa_short,0.2,0.53339022013,18.86,-22.200833553876603,0.307,0.693
coqa_short,0.30000000000000004,0.5308576193974,18.36,-22.1764546774354,0.332,0.668
coqa_short,0.4,0.5308576193974,18.36,-22.1764546774354,0.332,0.668
coqa_short,0.5,0.5308576193974,18.36,-22.1764546774354,0.332,0.668
coqa_short,0.6,0.5296679534244,17.6,-18.920409651934207,0.37,0.63
coqa_short,0.7000000000000001,0.5296679534244,17.6,-18.920409651934207,0.37,0.63
coqa_short,0.8,0.46259375708350003,5.0,-100.0,1.0,0.0
coqa_short,0.9,0.46259375708350003,5.0,-100.0,1.0,0.0
narrative_qa_short,0.1,0.2712451050294,15.68,-3.9894541827075067,0.466,0.534
narrative_qa_short,0.2,0.2712451050294,15.68,-3.9894541827075067,0.466,0.534
narrative_qa_short,0.30000000000000004,0.26631154052659994,14.84,-3.431179908453434,0.508,0.492
narrative_qa_short,0.4,0.26631154052659994,14.84,-3.431179908453434,0.508,0.492
narrative_qa_short,0.5,0.26631154052659994,14.84,-3.431179908453434,0.508,0.492
narrative_qa_short,0.6,0.2589203234559,13.92,-6.093822055555553,0.554,0.446
narrative_qa_short,0.7000000000000001,0.2589203234559,13.92,-6.093822055555553,0.554,0.446
narrative_qa_short,0.8,0.2039334014117,5.0,-100.0,1.0,0.0
narrative_qa_short,0.9,0.2039334014117,5.0,-100.0,1.0,0.0
qasper_short,0.1,0.3513254340665,20.5,-23.526508377148794,0.225,0.775
qasper_short,0.2,0.3513254340665,20.5,-23.526508377148794,0.225,0.775
qasper_short,0.30000000000000004,0.34735033097980006,20.18,-28.199439773613754,0.241,0.759
qasper_short,0.4,0.34735033097980006,20.18,-28.199439773613754,0.241,0.759
qasper_short,0.5,0.34735033097980006,20.18,-28.199439773613754,0.241,0.759
qasper_short,0.6,0.34509194191240006,19.9,-30.48799909376877,0.255,0.745
qasper_short,0.7000000000000001,0.34509194191240006,19.9,-30.48799909376877,0.255,0.745
qasper_short,0.8,0.30193844816420007,5.0,-100.0,1.0,0.0
qasper_short,0.9,0.30193844816420007,5.0,-100.0,1.0,0.0
